Entity,Day,Total confirmed cases of COVID-19 per million people
United States,2020-01-04,0
United States,2020-01-05,0
United States,2020-01-06,0
United States,2020-01-07,0
United States,2020-01-08,0
United States,2020-01-09,0
United States,2020-01-10,0
United States,2020-01-11,0
United States,2020-01-12,0
United States,2020-01-13,0
United States,2020-01-14,0
United States,2020-01-15,0
United States,2020-01-16,0
United States,2020-01-17,0
United States,2020-01-18,0
United States,2020-01-19,0
United States,2020-01-20,0.0029279657
United States,2020-01-21,0.0029279657
United States,2020-01-22,0.0029279657
United States,2020-01-23,0.0029279657
United States,2020-01-24,0.0029279657
United States,2020-01-25,0.017567795
United States,2020-01-26,0.020495761
United States,2020-01-27,0.020495761
United States,2020-01-28,0.023423726
United States,2020-01-29,0.023423726
United States,2020-01-30,0.023423726
United States,2020-01-31,0.023423726
United States,2020-02-01,0.023423726
United States,2020-02-02,0.026351692
United States,2020-02-03,0.029279659
United States,2020-02-04,0.038063556
United States,2020-02-05,0.049775418
United States,2020-02-06,0.05563135
United States,2020-02-07,0.05563135
United States,2020-02-08,0.05563135
United States,2020-02-09,0.058559317
United States,2020-02-10,0.058559317
United States,2020-02-11,0.058559317
United States,2020-02-12,0.058559317
United States,2020-02-13,0.058559317
United States,2020-02-14,0.064415246
United States,2020-02-15,0.06734321
United States,2020-02-16,0.07027118
United States,2020-02-17,0.07027118
United States,2020-02-18,0.07027118
United States,2020-02-19,0.07612711
United States,2020-02-20,0.090766944
United States,2020-02-21,0.099550836
United States,2020-02-22,0.1024788
United States,2020-02-23,0.117118634
United States,2020-02-24,0.14054236
United States,2020-02-25,0.14054236
United States,2020-02-26,0.15225422
United States,2020-02-27,0.16396609
United States,2020-02-28,0.1873898
United States,2020-02-29,0.20202965
United States,2020-03-01,0.21374151
United States,2020-03-02,0.2400932
United States,2020-03-03,0.29279658
United States,2020-03-04,0.39527538
United States,2020-03-05,0.5446016
United States,2020-03-06,0.7495592
United States,2020-03-07,0.97794056
United States,2020-03-08,1.3585762
United States,2020-03-09,1.7860591
United States,2020-03-10,2.4067879
United States,2020-03-11,3.5486946
United States,2020-03-12,5.0038934
United States,2020-03-13,6.5410757
United States,2020-03-14,8.669706
United States,2020-03-15,11.503978
United States,2020-03-16,15.073168
United States,2020-03-17,21.324375
United States,2020-03-18,28.260727
United States,2020-03-19,37.715126
United States,2020-03-20,51.950897
United States,2020-03-21,69.849556
United States,2020-03-22,91.98205
United States,2020-03-23,118.655815
United States,2020-03-24,150.17537
United States,2020-03-25,181.6627
United States,2020-03-26,214.84242
United States,2020-03-27,256.17065
United States,2020-03-28,310.2619
United States,2020-03-29,369.82843
United States,2020-03-30,430.35828
United States,2020-03-31,506.9568
United States,2020-04-01,552.4457
United States,2020-04-02,620.5502
United States,2020-04-03,704.50665
United States,2020-04-04,791.7307
United States,2020-04-05,885.5925
United States,2020-04-06,979.6798
United States,2020-04-07,1058.688
United States,2020-04-08,1142.5128
United States,2020-04-09,1228.4633
United States,2020-04-10,1328.4474
United States,2020-04-11,1430.1737
United States,2020-04-12,1527.3207
United States,2020-04-13,1619.654
United States,2020-04-14,1698.9844
United States,2020-04-15,1772.898
United States,2020-04-16,1846.8555
United States,2020-04-17,1920.6636
United States,2020-04-18,2012.877
United States,2020-04-19,2101.641
United States,2020-04-20,2184.447
United States,2020-04-21,2260.779
United States,2020-04-22,2338.1594
United States,2020-04-23,2414.0728
United States,2020-04-24,2503.2878
United States,2020-04-25,2600.5286
United States,2020-04-26,2702.3572
United States,2020-04-27,2800.7456
United States,2020-04-28,2877.0574
United States,2020-04-29,2946.6199
United States,2020-04-30,3016.7007
United States,2020-05-01,3095.094
United States,2020-05-02,3186.508
United States,2020-05-03,3283.371
United States,2020-05-04,3366.2092
United States,2020-05-05,3442.1226
United States,2020-05-06,3507.4863
United States,2020-05-07,3574.4724
United States,2020-05-08,3648.96
United States,2020-05-09,3732.559
United States,2020-05-10,3816.9812
United States,2020-05-11,3892.8652
United States,2020-05-12,3953.3452
United States,2020-05-13,4011.7583
United States,2020-05-14,4081.7424
United States,2020-05-15,4132.5015
United States,2020-05-16,4233.935
United States,2020-05-17,4311.901
United States,2020-05-18,4388.265
United States,2020-05-19,4446.5815
United States,2020-05-20,4513.1753
United States,2020-05-21,4577.365
United States,2020-05-22,4646.19
United States,2020-05-23,4722.876
United States,2020-05-24,4798.895
United States,2020-05-25,4861.7437
United States,2020-05-26,4922.209
United States,2020-05-27,4978.95
United States,2020-05-28,5030.2188
United States,2020-05-29,5087.338
United States,2020-05-30,5158.1416
United States,2020-05-31,5227.655
United States,2020-06-01,5298.298
United States,2020-06-02,5361.1494
United States,2020-06-03,5411.3843
United States,2020-06-04,5472.7954
United States,2020-06-05,5533.3896
United States,2020-06-06,5594.4966
United States,2020-06-07,5666.205
United States,2020-06-08,5734.383
United States,2020-06-09,5788.4185
United States,2020-06-10,5841.564
United States,2020-06-11,5895.9688
United States,2020-06-12,5960.914
United States,2020-06-13,6027.935
United States,2020-06-14,6110.893
United States,2020-06-15,6188.291
United States,2020-06-16,6249.1284
United States,2020-06-17,6309.418
United States,2020-06-18,6381.9644
United States,2020-06-19,6457.5527
United States,2020-06-20,6541.058
United States,2020-06-21,6637.9883
United States,2020-06-22,6735.9785
United States,2020-06-23,6816.044
United States,2020-06-24,6900.071
United States,2020-06-25,7011.0024
United States,2020-06-26,7120.274
United States,2020-06-27,7257.95
United States,2020-06-28,7394.218
United States,2020-06-29,7522.032
United States,2020-06-30,7632.0737
United States,2020-07-01,7744.85
United States,2020-07-02,7883.2056
United States,2020-07-03,8056.9565
United States,2020-07-04,8219.318
United States,2020-07-05,8396.068
United States,2020-07-06,8539.474
United States,2020-07-07,8657.802
United States,2020-07-08,8806.434
United States,2020-07-09,8972.607
United States,2020-07-10,9162.267
United States,2020-07-11,9343.634
United States,2020-07-12,9544.431
United States,2020-07-13,9744.3
United States,2020-07-14,9916.112
United States,2020-07-15,10080.919
United States,2020-07-16,10269.819
United States,2020-07-17,10481.772
United States,2020-07-18,10684.332
United States,2020-07-19,10909.645
United States,2020-07-20,11106.767
United States,2020-07-21,11282.48
United States,2020-07-22,11453.821
United States,2020-07-23,11639.268
United States,2020-07-24,11851.299
United States,2020-07-25,12065.456
United States,2020-07-26,12279.643
United States,2020-07-27,12459.994
United States,2020-07-28,12629.11
United States,2020-07-29,12787.241
United States,2020-07-30,12959.136
United States,2020-07-31,13149.029
United States,2020-08-01,13342.6875
United States,2020-08-02,13542.328
United States,2020-08-03,13707.5
United States,2020-08-04,13856.385
United States,2020-08-05,13989.106
United States,2020-08-06,14141.524
United States,2020-08-07,14304.296
United States,2020-08-08,14459.961
United States,2020-08-09,14642.977
United States,2020-08-10,14794.291
United States,2020-08-11,14930.362
United States,2020-08-12,15057.369
United States,2020-08-13,15229.996
United States,2020-08-14,15389.254
United States,2020-08-15,15540.108
United States,2020-08-16,15704.839
United States,2020-08-17,15854.566
United States,2020-08-18,15976.062
United States,2020-08-19,16097.833
United States,2020-08-20,16219.71
United States,2020-08-21,16356.077
United States,2020-08-22,16491.31
United States,2020-08-23,16629.455
United States,2020-08-24,16754.041
United States,2020-08-25,16860.062
United States,2020-08-26,16964.637
United States,2020-08-27,17083.436
United States,2020-08-28,17219.38
United States,2020-08-29,17356.762
United States,2020-08-30,17493.047
United States,2020-08-31,17612.824
United States,2020-09-01,17720.09
United States,2020-09-02,17833.39
United States,2020-09-03,17948.104
United States,2020-09-04,18075.9
United States,2020-09-05,18208.455
United States,2020-09-06,18357.537
United States,2020-09-07,18477.96
United States,2020-09-08,18578.207
United States,2020-09-09,18651.043
United States,2020-09-10,18733.184
United States,2020-09-11,18834.668
United States,2020-09-12,18947.637
United States,2020-09-13,19076.707
United States,2020-09-14,19194.912
United States,2020-09-15,19291.207
United States,2020-09-16,19391.742
United States,2020-09-17,19499.535
United States,2020-09-18,19628.102
United States,2020-09-19,19758.484
United States,2020-09-20,19899.398
United States,2020-09-21,20022.902
United States,2020-09-22,20123.771
United States,2020-09-23,20244.984
United States,2020-09-24,20390
United States,2020-09-25,20511.924
United States,2020-09-26,20646.496
United States,2020-09-27,20791.766
United States,2020-09-28,20914.844
United States,2020-09-29,21018.936
United States,2020-09-30,21131.375
United States,2020-10-01,21245.217
United States,2020-10-02,21379.67
United States,2020-10-03,21516.184
United States,2020-10-04,21665.318
United States,2020-10-05,21805.062
United States,2020-10-06,21909.807
United States,2020-10-07,22031.617
United States,2020-10-08,22153.578
United States,2020-10-09,22307.572
United States,2020-10-10,22471.842
United States,2020-10-11,22643.988
United States,2020-10-12,22802.73
United States,2020-10-13,22932.8
United States,2020-10-14,23076.691
United States,2020-10-15,23224.545
United States,2020-10-16,23392.111
United States,2020-10-17,23576.707
United States,2020-10-18,23778.969
United States,2020-10-19,23938.682
United States,2020-10-20,24081.822
United States,2020-10-21,24261.488
United States,2020-10-22,24433.48
United States,2020-10-23,24634.504
United States,2020-10-24,24853.818
United States,2020-10-25,25094.906
United States,2020-10-26,25317.963
United States,2020-10-27,25510.066
United States,2020-10-28,25713.807
United States,2020-10-29,25933.29
United States,2020-10-30,26180.44
United States,2020-10-31,26447.264
United States,2020-11-01,26732.793
United States,2020-11-02,27004.459
United States,2020-11-03,27419.006
United States,2020-11-04,27674.29
United States,2020-11-05,27962.691
United States,2020-11-06,28296.113
United States,2020-11-07,28655.756
United States,2020-11-08,29046.162
United States,2020-11-09,29426.24
United States,2020-11-10,29753.143
United States,2020-11-11,30117.637
United States,2020-11-12,30544.977
United States,2020-11-13,30994.887
United States,2020-11-14,31470.096
United States,2020-11-15,31988.314
United States,2020-11-16,32469.2
United States,2020-11-17,32871.984
United States,2020-11-18,33321.055
United States,2020-11-19,33811.06
United States,2020-11-20,34311.457
United States,2020-11-21,34863.91
United States,2020-11-22,35430.086
United States,2020-11-23,35939.15
United States,2020-11-24,36377.707
United States,2020-11-25,36847.383
United States,2020-11-26,37360.312
United States,2020-11-27,37928.633
United States,2020-11-28,38353.273
United States,2020-11-29,38833.56
United States,2020-11-30,39256.867
United States,2020-12-01,39669.92
United States,2020-12-02,40114.695
United States,2020-12-03,40678.97
United States,2020-12-04,41294.055
United States,2020-12-05,41928.785
United States,2020-12-06,42584.082
United States,2020-12-07,43186
United States,2020-12-08,43703.984
United States,2020-12-09,44240.066
